BRAND,PRODUCT NAME,PRODUCT DESCRIPTION,SKU CODE,VARIANT NAME,VARIANT DESCRIPTION,HSN,GST %,Sale Price,Total Price(Sale Price + GST),MRP,CATEGORY
G10,Jaggery Unde G10 300 gms,"",8906076661553,,"",-,0.0,50.0,50.0,0.0,Organic
ForGreen,Healthy Cookies - Org Jaggery - Proso Millet,Healthy Cookies - Org Jaggery - Proso Millet,8906062600542,,"",-,0.0,45.0,45.0,0.0,Natural Health Food
Timbaktu Organic,"Kodo Millet Rice ( Aarika, Harka )","Kodo Millet Rice ( Aarika, Harka )
",2304200811,,"",-,0.0,133.0,133.0,0.0,Millets
ForGreen,Millet Rusk - Little Millet,Millet Rusk - Little Millet,8906062600740,,"",-,0.0,25.0,25.0,0.0,Natural Health Food
ForGreen,Healthy Cookies - Salt With Jeera,Healthy Cookies - Salt With Jeera,8906062600788,,"",-,0.0,40.0,40.0,0.0,Natural Health Food
Timbaktu Organic,Kodo Millet Semolina ( Ravva ),Kodo Millet Semolina ( Ravva ),2304200814,,"",-,0.0,67.0,67.0,0.0,Millets
Timbaktu Organic,Finger Millet Flour,Finger Millet Flour,2304200818,,"",-,0.0,29.0,29.0,0.0,Millets
ForGreen,Millet Crispy - Sweet Chilly,Millet Crispy - Sweet Chilly,8906062600832,,"",-,0.0,25.0,25.0,0.0,Natural Health Food
ForGreen,Millet Rusk - Barnyard Millet,Millet Rusk - Barnyard Millet,8906062601990,,"",-,0.0,25.0,25.0,0.0,Natural Health Food
Organa,Fruit Bar Mango,Fruit Bar Mango 50 Gms-Organa,8908002451108,,"",-,0.0,35.0,35.0,0.0,Natural Health Food
Desi Utthana,Millet- Ragi Malt ,Millet- Ragi Malt ,BFA001,,"",-,0.0,180.0,180.0,0.0,Natural Health Food
Timbaktu Organic,Great Millet Semolina,Great Millet Semolina,2304200826,,"",-,0.0,33.0,33.0,0.0,Millets
Timbaktu Organic,Proso Millet Rice (Barigalu),"Proso Millet Rice (Barigalu)
",2304200885,,"",-,0.0,67.0,67.0,0.0,Millets
Timbaktu Organic,Proso Millet Semolina,"Proso Millet Semolina
",2304200886,,"",-,0.0,67.0,67.0,0.0,Millets
Timbaktu Organic,Multi Millet Dosa Mix,"Multi Millet Dosa Mix
",2304200898,,"",-,0.0,53.0,53.0,0.0,Millets
Timbaktu Organic,Multi Millet Flour Timbaktu,"Multi Millet Flour Timbaktu
",2304200899,,"",-,0.0,106.0,106.0,0.0,Millets
Nidhi,Bag Big,Bag Big,000488,,"",-,0.0,5.0,5.0,0.0,Bags
Desi Utthana,Siri Dhanya Food Preparation Book,"",000009,,"",-,0.0,200.0,200.0,0.0,Gifts &amp; Stationary
Maa Gou Prodcuts,Triguna Vibhuti -50 Gms,Triguna Vibhuti -50 Gms,000006,,"",-,0.0,40.0,40.0,0.0,Spiritual
G10,Flax Seed - Agase-G10,"Flax Seed - Agase-G10
",8906076660556,,"",-,0.0,50.0,50.0,0.0,Millets
Maa Gou Prodcuts,Surabhi Dhoop Cone,Surabhi Dhoop Cone,000007,,"",-,0.0,20.0,20.0,0.0,Spiritual
G10,Fox Tail Millet / Navane G10 ,"Fox Tail Millet / Navane G10 
",8906076660570,,"",-,0.0,70.0,70.0,0.0,Millets
G10,Fox Tail Millet / Navane G10,"Fox Tail Millet / Navane G10
",8906076660587,,"",-,0.0,133.0,133.0,0.0,Millets
Maa Gou Prodcuts,Gou Ganga Agarabathi (Kewra),"",8908006136087,,"",-,0.0,20.0,20.0,0.0,Spiritual
Maa Gou Prodcuts,Raga Bharathi Kumkum,Raga Bharathi Kumkum- 50 Gms,000008,,"",-,0.0,28.0,28.0,0.0,Spiritual
G10,Ragi Flour G10 ,"Ragi Flour G10
",8906076660884,,"",-,0.0,70.0,70.0,0.0,Millets
Maa Gou Prodcuts,Gau Ganga Agarabathi (Jasmine),Gau Ganga Agarabathi (Jasmine),8908006136056,,"",-,0.0,20.0,20.0,0.0,Spiritual
Maa Gou Prodcuts,Gomay Khanda,"",8908006136094,,"",-,0.0,50.0,50.0,0.0,Spiritual
G10,Rice Flour G10 ,"Rice Flour G10 
",8906076660945,,"",-,0.0,50.0,50.0,0.0,Millets
Maa Gou Prodcuts,Phenyl Maa Go,"",8908006136155,,"",-,0.0,40.0,40.0,0.0,Spiritual
Maa Gou Prodcuts,Gou Ganga (Sandal Wood),Gou Ganga (Sandal Wood),8908006136063,,"",-,0.0,20.0,20.0,0.0,Spiritual
G10,G10 - Multi Millet Flour,"G10 - Multi Millet Flour
",8906076661430,,"",-,0.0,72.0,72.0,0.0,Millets
Maa Gou Prodcuts,Gau Ganga (Lavender),Gau Ganga (Lavender),8908006136070,,"",-,0.0,20.0,20.0,0.0,Spiritual
Maa Gou,Phenyl - 1 Ltr Maa Gou,"",8908006136162,,"",-,0.0,65.0,65.0,0.0,Spiritual
G10,Fox Tail Millet Rava G10 ,"Fox Tail Millet Rava G10 
",8906076661478,,"",-,0.0,45.0,45.0,0.0,Millets
Maa Gou Prodcuts,Sucharna,"",8908006136209,,"",-,0.0,30.0,30.0,0.0,Spiritual
G10,Fox Tail Millet Rava G10,"Fox Tail Millet Rava G10
",8906076661485,,"",-,0.0,100.0,100.0,0.0,Millets
Desi Utthana,Rajamudi  Desi ( Mysore Maharaja),"Rajamudi  Desi ( Mysore Maharaja)
",CAA028,,"",-,0.0,79.0,79.0,0.0,Millets
"",Goudhooli Herbal Incence,"",8908006136261,,"",-,0.0,15.0,15.0,0.0,Spiritual
Desi Utthana,Rajamudi ( mysore maharaja),"Rajamudi ( mysore maharaja)
",CAA029,,"",-,0.0,375.0,375.0,0.0,Millets
Desi Utthana,Baraga - Proso Millet 500 Gms,"Baraga - Proso Millet 500 Gms
",CAB001,,"",-,0.0,59.0,59.0,0.0,Millets
Desi Utthana,Navane - Foxtail Millet,"Navane - Foxtail Millet
",CAB008,,"",-,0.0,48.0,48.0,0.0,Millets
Desi Utthana,Navane - Foxtail Millet,"Navane - Foxtail Millet
",CAB009,,"",-,0.0,92.0,92.0,0.0,Millets
Desi Utthana,Ragi - Finger Millet  Desi,"Ragi - Finger Millet  Desi
",CAB010,,"",-,0.0,57.0,57.0,0.0,Millets
Desi Utthana,Sajje - Pearl Millet,"Sajje - Pearl Millet
",CAB013,,"",-,0.0,59.0,59.0,0.0,Millets
Desi Utthana,Same - Little Millet 1 Kg,"Same - Little Millet 1 Kg
",CAB015,,"",-,0.0,110.0,110.0,0.0,Millets
Desi Utthana,Oodalu - Barnyard Millet,"Oodalu - Barnyard Millet
",CAB016,,"",-,0.0,59.0,59.0,0.0,Millets
Desi Utthana,Oodalu - Barnyard Millet,"Oodalu - Barnyard Millet
",CAB017,,"",-,0.0,110.0,110.0,0.0,Millets
Desi Utthana,Ragi Floor,"Ragi Floor
",CAC007,,"",-,0.0,67.0,67.0,0.0,Millets
G10,Wheat Flour G10,"Wheat Flour G10
",000091,,"",-,0.0,110.0,110.0,0.0,Home Needs
Shivaganga,Ground Nut Raw,"Ground Nut Raw
",000199,,"",-,0.0,135.0,135.0,0.0,Home Needs
G10,Cow Pea (Alsande Kalu)  G10,"Cow Pea (Alsande Kalu)  G10
",8906076660013,,"",-,0.0,90.0,90.0,0.0,Home Needs
G10,Pearlmillet Flour (Sajje Hittu) G 10,"Pearlmillet Flour (Sajje Hittu) G 10
",8906076660037,,"",-,0.0,51.0,51.0,0.0,Home Needs
G10,Black Pepper Powder -G10,"Black Pepper Powder -G10
",8906076660051,,"",-,0.0,85.0,85.0,0.0,Home Needs
G10,Black Pepper Whole -G10,"Black Pepper Whole -G10
",8906076660082,,"",-,0.0,80.0,80.0,0.0,Home Needs
G10,Chana Dal - Kadale Bele-G10,"Chana Dal - Kadale Bele-G10
",8906076660136,,"",-,0.0,95.0,95.0,0.0,Home Needs
G10,Cinnamon G10,"Cinnamon G10
",8906076660334,,"",-,0.0,37.0,37.0,0.0,Home Needs
Udupi Food Products,Ufp - Mint Ginger Juice,Ufp - Mint Ginger Juice,UFP0014,,"",-,0.0,90.0,90.0,0.0,Home Needs
G10,G10 - Cinnamon ,"G10 - Cinnamon 
",8906076660341,,"",-,0.0,70.0,70.0,0.0,Home Needs
G10,Moong Dal - Hesaru Bele G10,"Moong Dal - Hesaru Bele G10
",8906076660761,,"",-,0.0,110.0,110.0,0.0,Home Needs
G10,Moong Whole - Hesaru Kalu G 10,"Moong Whole - Hesaru Kalu G 10
",8906076660785,,"",-,0.0,100.0,100.0,0.0,Home Needs
G10,Idli Rava G10 ,"Idli Rava G10 
",8906076660969,,"",-,0.0,46.0,46.0,0.0,Home Needs
SSR Food Products,Garlic Chutney Powder - SSR,Garlic Chutney Powder - SSR ,SSR1009,,"",-,0.0,40.0,40.0,0.0,Home Needs
G10,Sona Masoori Rice G10,"Sona Masoori Rice G10
",8906076661027,,"",-,0.0,85.0,85.0,0.0,Home Needs
Marries,Health Mix,Health Mix Marries ,MPC0003,,"",-,0.0,50.0,50.0,0.0,Home Needs
G10,Toor Dal - Togari Bele G10 ,"Toor Dal - Togari Bele G10 
",8906076661102,,"",-,0.0,135.0,135.0,0.0,Home Needs
Marries,Palm Candy,Palm Candy Marries ,MPC0001,,"",-,0.0,80.0,80.0,0.0,Home Needs
G10,Toor Dal - Togari Bele G10,"Toor Dal - Togari Bele G10
",8906076661119,,"",-,0.0,265.0,265.0,0.0,Home Needs
Siridhanya,Siridhanya Sajje Dosa Mix,Siridhanya Sajje Dosa Mix,DG0023,,"",-,0.0,60.0,60.0,0.0,Home Needs
G10,Turmeric Powder G 10 100Gms,"Turmeric Powder G 10 100Gms
",8906076661140,,"",-,0.0,40.0,40.0,0.0,Home Needs
G10,Turmeric Powder G10  ,"Turmeric Powder G10  
",8906076661157,,"",-,0.0,65.0,65.0,0.0,Home Needs
G10,Urid Dal - Uddin Bele G10,"Urid Dal - Uddin Bele G10
",8906076661195,,"",-,0.0,56.0,56.0,0.0,Home Needs
G10,G10 - Urid Dal - Uddin Bele,"G10 - Urid Dal - Uddin Bele
",8906076661201,,"",-,0.0,130.0,130.0,0.0,Home Needs
G10,Jowar Flour G10 ,"Jowar Flour G10 
",8906076661218,,"",-,0.0,50.0,50.0,0.0,Home Needs
G10,Ragi Flour G10  ,"Ragi Flour G10
",8906076661225,,"",-,0.0,40.0,40.0,0.0,Home Needs
G10,Moong Dal - Hesaru Bele G10,"Moong Dal - Hesaru Bele G10
",8906076661317,,"",-,0.0,48.0,48.0,0.0,Home Needs
G10,Rajamudi Rice G10 ,"Rajamudi Rice G10 
",8906076661331,,"",-,0.0,80.0,80.0,0.0,Home Needs
G10,Rajamudi Rice G10 ,"Rajamudi Rice G10 
",8906076661348,,"",-,0.0,375.0,375.0,0.0,Home Needs
G10,Red Rice G10 ,"Red Rice G10 
",8906076661355,,"",-,0.0,75.0,75.0,0.0,Home Needs
G10,Beaten Rice Red Avalakki G10 ,"Beaten Rice Red Avalakki G10 
",8906076661379,,"",-,0.0,112.0,112.0,0.0,Home Needs
G10,Beaten Rice Red Avalakki G10,"Beaten Rice Red Avalakki G10
",8906076661386,,"",-,0.0,57.0,57.0,0.0,Home Needs
G10,Beaten Rice White Avalakki G10 ,"Beaten Rice White Avalakki G10 
",8906076661393,,"",-,0.0,50.0,50.0,0.0,Home Needs
G10,Beaten Rice White Avalakki G10,"Beaten Rice White Avalakki G10
",8906076661409,,"",-,0.0,95.0,95.0,0.0,Home Needs
G10,Cinnamon Powder G10 ,"Cinnamon Powder G10 
",8906076661416,,"",-,0.0,45.0,45.0,0.0,Home Needs
G10,Cinnamon Powder G10 ,"Cinnamon Powder G10 
",8906076661423,,"",-,0.0,85.0,85.0,0.0,Home Needs
G10,Red Rice Flour G10 ,"Red Rice Flour G10 
",8906076661454,,"",-,0.0,60.0,60.0,0.0,Home Needs
G10,Cloves Whole G10 ,"Cloves Whole G10 
",8906076661508,,"",-,0.0,70.0,70.0,0.0,Home Needs
G10,Red Chilli Powder G10,"Red Chilli Powder G10
",8906076661515,,"",-,0.0,30.0,30.0,0.0,Home Needs
G10,Red Chilli Powder G10,"Red Chilli Powder G10
",8906076661522,,"",-,0.0,50.0,50.0,0.0,Home Needs
G10,Rock Salt Powder G10 ,"Rock Salt Powder G10 
",8906076661584,,"",-,0.0,43.0,43.0,0.0,Home Needs
G10,Rock Salt G10,"Rock Salt G10
",8906076661591,,"",-,0.0,90.0,90.0,0.0,Home Needs
Upadhya,Quality Tulasi Herbal,"Quality Tulasi Herbal
",8908000954151,,"",-,0.0,14.0,14.0,0.0,Personal Care
Upadhya,Cauvery Sandal Soap,"Cauvery Sandal Soap
",8908000954359,,"",-,0.0,14.0,14.0,0.0,Personal Care
Upadhya,Brindavan Sandal Soap,"Brindavan Sandal Soap
",8908000954502,,"",-,0.0,33.0,33.0,0.0,Personal Care
Maa Gou Prodcuts,Danta Manjan- Tooth Powder- 50 Gms,"Danta Manjan- Tooth Powder- 50 Gms
",8908006136230,,"",-,0.0,50.0,50.0,0.0,Personal Care
"",French Cucumber,"",000124,,"",-,0.0,70.0,70.0,0.0,Vegetables &amp; Fruits
"",Lady's Finger,"",SSTBS0034,,"",-,0.0,78.0,78.0,0.0,Vegetables &amp; Fruits
"",Lemon,"",SSTBS0035,,"",-,0.0,7.0,7.0,0.0,Vegetables &amp; Fruits
"",Little Gourd,"",SSTBS0036,,"",-,0.0,45.0,45.0,0.0,Vegetables &amp; Fruits
"",Mushroom,"",SSTBS0037,,"",-,0.0,80.0,80.0,0.0,Vegetables &amp; Fruits
"",Mint,"",SSTBS0039,,"",-,0.0,25.0,25.0,0.0,Vegetables &amp; Fruits
"",Nati Beans,"",SSTBS0041,,"",-,0.0,90.0,90.0,0.0,Vegetables &amp; Fruits
"",Onion,"",SSTBS0043,,"",-,0.0,40.0,40.0,0.0,Vegetables &amp; Fruits
"",Orange,"",SSTBS0044,,"",-,0.0,100.0,100.0,0.0,Vegetables &amp; Fruits
"",Palak,"",SSTBS0045,,"",-,0.0,30.0,30.0,0.0,Vegetables &amp; Fruits
"",Papaya,"",SSTBS0047,,"",-,0.0,50.0,50.0,0.0,Vegetables &amp; Fruits
"",Pineapple,"",SSTBS0048,,"",-,0.0,85.0,85.0,0.0,Vegetables &amp; Fruits
"",Pomogranate,"",SSTBS0049,,"",-,0.0,190.0,190.0,0.0,Vegetables &amp; Fruits
"",Potato,"",SSTBS0050,,"",-,0.0,70.0,70.0,0.0,Vegetables &amp; Fruits
"",Radish,"",SSTBS0051,,"",-,0.0,35.0,35.0,0.0,Vegetables &amp; Fruits
"",Raw Banana,"",SSTBS0052,,"",-,0.0,25.0,25.0,0.0,Vegetables &amp; Fruits
"",Ridge Gourd,"",SSTBS0054,,"",-,0.0,50.0,50.0,0.0,Vegetables &amp; Fruits
"",Sapota,"",SSTBS0059,,"",-,0.0,70.0,70.0,0.0,Vegetables &amp; Fruits
"",Snake Gourd,"",SSTBS0060,,"",-,0.0,55.0,55.0,0.0,Vegetables &amp; Fruits
"",Sweet Potato,"",SSTBS0062,,"",-,0.0,55.0,55.0,0.0,Vegetables &amp; Fruits
"",Tomato Nati,"",SSTBS0063,,"",-,0.0,51.0,51.0,0.0,Vegetables &amp; Fruits
"",Water Mellon,"",SSTBS0064,,"",-,0.0,45.0,45.0,0.0,Vegetables &amp; Fruits
"",Banana Yelakki,"",SSTBS0004,,"",-,0.0,90.0,90.0,0.0,Vegetables &amp; Fruits
"",Cluster Beans,"",000089,,"",-,0.0,55.0,55.0,0.0,Vegetables &amp; Fruits
"",Batani,"",000125,,"",-,0.0,175.0,175.0,0.0,Vegetables &amp; Fruits
"",Thothapuri Raw Mango,"",000149,,"",-,0.0,110.0,110.0,0.0,Vegetables &amp; Fruits
"",Muskmelon,"",000200,,"",-,0.0,45.0,45.0,0.0,Vegetables &amp; Fruits
"",Ring Beans,"",000402,,"",-,0.0,95.0,95.0,0.0,Vegetables &amp; Fruits
"",Baby Corn,"",000451,,"",-,0.0,40.0,40.0,0.0,Vegetables &amp; Fruits
"",Brinjal Round,"",SSTBS0009,,"",-,0.0,45.0,45.0,0.0,Vegetables &amp; Fruits
Desi Utthana,Ground Nut Oil  ,Ground Nut Oil  ,CAG002,,"",-,0.0,130.0,130.0,0.0,Home Needs
"",Wheat,Desi Utthana,CAD113,,"",-,0.0,57.0,57.0,0.0,Home Needs
g10,Urad Dal Polish G10,Urad Dal Polish G10,CAD106,,"",-,0.0,130.0,130.0,0.0,Home Needs
Desi Utthana,Tamarind,Tamarind,CAD097,,"",-,0.0,90.0,90.0,0.0,Home Needs
Desi Utthana,Roasted gram,Roasted Gram,CAD088,,"",-,0.0,40.0,40.0,0.0,Home Needs
Desi Utthana,Rajma White,Rajma White,CAD086,,"",-,0.0,79.0,79.0,0.0,Home Needs
Desi Utthana,Musterd Desi,Musterd Desi 100Gms,CAD078,,"",-,0.0,20.0,20.0,0.0,Home Needs
Desi Utthana,Jeera,Jeera 100Gms,CAD061,,"",-,0.0,40.0,40.0,0.0,Home Needs
Desi Utthana,Groundnut,Groundnut,CAD056,,"",-,0.0,87.0,87.0,0.0,Home Needs
Desi Utthana,Green Gram,Green Gram,CAD053,,"",-,0.0,96.0,96.0,0.0,Home Needs
